"text","category"
"raat se this month's rent pay karna hai isliye aakhirkar my savings account clear kar diya Friday tak.","Finance"
"Ghar pe sab the long queue at the grocery store ke baare mein baat kar rahe the aaj.","General/Other"
"Aajkal kaafi khush feel ho raha hai kuch bhi thik nahi ho raha isliye.","Mood/Emotion"
"pasta ki delivery aane mein ek ghanta lag gaya.","Food"
"I tried making idli sambar at home since last night.","Food"
"I need to pay my credit score for the past three days and i need to pay my credit score since last night.","Finance"
"i noticed the traffic on the way home while walking today","General/Other"
"Aajkal thoda low feel ho raha hai us baat cheet ke baad","Mood/Emotion"
"I need to finish the client presentation before since noon, and my roommate asked me to revise the budget proposal for the past three days.","Work/Office"
"is mahine dost aa rahe hain aur dosa banane ka plan hai.","Food"
"I couldn't finish my plate of pasta, it was too spicy, and on top of that we ordered idli sambar for dinner from tomorrow.","Food"
"my manager recommended a place that serves amazing biryani","Food"
"mere manager ne bola thoda rest kar badan dard thik ho jayega, kyunki landlord ne bola specialist ko dikhao aankhon mein dhundhlapan ke liye.","Health"
"Store mein a new smartphone pe badi sale lagi hai kal","Shopping"
"raat se half day liya budget proposal complete karne ke liye halaanki abhi leadership ke saamne audit checklist present karna hai.","Work/Office"
"the company website keeps crashing next month.","Technology"
"I tried making tacos at home this evening.","Food"
"the company website suddenly stopped working since Monday.","Technology"
"agle mahine ghar pe biryani banane ki koshish ki","Food"
"the office printer won't connect to the internet in a while.","Technology"
"The store had a huge sale on a winter jacket tomorrow because the a kitchen mixer I ordered arrived damaged.","Shopping"
"mere manager ne bola project timeline revise karo aaj shaam ko","Work/Office"
"Pet mein dard ho raha hai.","Health"
"a running nose has been bothering me next week, but i've been dealing with a running nose this month.","Health"
"news sunne ke baad, bas ek ajeeb sa bahut motivated feeling aa rahi hai.","Mood/Emotion"
"I have to submit the group presentation for a couple of hours.","Education"
"i need to pay my bank statement this month","Finance"
"mere dost ne the online course samjhaane mein madad ki","Education"
"Bangalore wali train Monday se delay ho gayi.","Travel"
"I took a half day this month to catch up on the marketing plan, since we finally closed the status update this afternoon.","Work/Office"
"pichle hafte se takhne mein sujan thik nahi ho raha.","Health"
"pichle hafte se walk karte waqt the long queue at the grocery store dikha.","General/Other"
"the power cut yesterday came up randomly in conversation since last night.","General/Other"
"There's a strange feeling of being content after a long day.","Mood/Emotion"
"I woke up feeling overwhelmed because of everything going on lately.","Mood/Emotion"
"I need to finish the vendor contract before next month","Work/Office"
"We finally closed the hiring paperwork for a couple of hours","Work/Office"
"the office server internet se connect hi nahi ho raha pichle teen din se halaanki my browser internet se connect hi nahi ho raha kal raat se.","Technology"
"my mother scheduled a call about the audit checklist this evening.","Work/Office"
"aaj my browser reinstall karna pada.","Technology"
"my manager suggested I see a specialist because of chest tightness.","Health"
"kuch ghanton se the literature essay submit karna hai.","Education"
"subah se the community meeting ke baare mein baat hui","General/Other"
"the community meeting came up randomly in conversation by Friday while i noticed the neighbor's new dog while walking right now.","General/Other"
"Mujhe kuch ghanton se migraine ho raha hai, lekin thodi der mein se kamzori thik nahi ho raha.","Health"
"my manager advised me to review my credit card bill.","Finance"
"I've been feeling pretty disappointed after finishing the task finally.","Mood/Emotion"
"Aakhirkar hotel pahunch gaye.","Travel"
"My credit card bill got auto-debited next week.","Finance"
"I finally booked a train ticket to Delhi","Travel"
"the mobile app keeps crashing in a while.","Technology"
"the practical exam ke liye ek study group join kiya","Education"
"Everyone at home was discussing the power cut yesterday next month","General/Other"
"Aakhirkar Ladakh ke liye flight ki ticket book kar li.","Travel"
"abhi my savings account pay karna hai","Finance"
"I'm not sure whether to take a local train or drive to Darjeeling.","Travel"
"Sach kahoon toh aakhirkar kaam khatam karne ke baad, mann bahut restless hai.","Mood/Emotion"
"i tried making grilled sandwiches at home in a while","Food"
"I noticed the weekend plans while walking today.","General/Other"
"mere colleague ne ek jagah bataayi jahan ka butter chicken zabardast hai lekin kal raat se ghar pe pasta banane ki koshish ki.","Food"
"my father scheduled a call about the sales deck last night and we finally closed the sprint review last night.","Work/Office"
"I'm planning a trip to Darjeeling today.","Travel"
"store mein a pair of jeans pe badi sale lagi hai Monday se","Shopping"
"the loan application check kiya toh kuch ajeeb laga halaanki mere neighbor ne bola my credit card bill review karo.","Finance"
"my boss helped me understand the coding assignment better.","Education"
"I tried making pancakes at home today.","Food"
"My the insurance premium got auto-debited since Monday.","Finance"
"Monday se the class test submit karna hai.","Education"
"kal raat se random mein the long queue at the grocery store ki baat chal padi.","General/Other"
"kerala wali train pichle teen din se delay ho gayi isliye is weekend Delhi ghumne ka plan bana raha hoon.","Travel"
"Ghar pe sab an old photo album ke baare mein baat kar rahe the kal se.","General/Other"
"I'm not sure whether to take a cab or drive to Kolkata.","Travel"
"The delivery for a smartwatch is delayed this weekend, but my cousin recommended a good brand for a pair of sneakers.","Shopping"
"status update ko lekar meeting hai do din se.","Work/Office"
"Yeh poori tarah drained wala feeling jaa hi nahi raha aakhirkar kaam khatam karne ke baad","Mood/Emotion"
"we're hosting friends since two days and planning to make biryani and i tried making momos at home since yesterday.","Food"
"my roommate asked me to revise the vendor contract this afternoon.","Work/Office"
"my colleague scheduled a call about the marketing plan tomorrow.","Work/Office"
"is weekend a fixed deposit pay karna hai.","Finance"
"do din se leadership ke saamne performance review present karna hai.","Work/Office"
"i finally cleared the personal loan EMI since yesterday, though i finally cleared my credit card bill in a while.","Finance"
"We ordered pancakes for dinner since yesterday.","Food"
"We finally closed the hiring paperwork next month.","Work/Office"
"is weekend dost aa rahe hain aur grilled sandwiches banane ka plan hai.","Food"
"mere colleague ne the coding assignment samjhaane mein madad ki par kuch ghanton se wale the literature essay ko lekar nervous hoon.","Education"
"my sister recommended a place that serves amazing pasta.","Food"
"Samajh nahi aa raha connecting flight loon ya khud drive karke Varanasi jaaun, isliye thodi der mein Udaipur ke liye packing karni hai.","Travel"
"mere colleague ne ek achi brand suggest ki a formal shirt ke liye, par a dining table ke refund ka wait kar raha hoon.","Shopping"
"Ghar pe sab the noisy construction nearby ke baare mein baat kar rahe the thodi der mein.","General/Other"
"I'm not sure whether to take a road trip or drive to Shimla.","Travel"
"Ghar pe sab the weather ke baare mein baat kar rahe the dopahar se.","General/Other"
"kal se Mumbai ghumne ka plan bana raha hoon, uske upar se dopahar se Delhi ke liye packing karni hai.","Travel"
"my external hard drive keeps crashing today.","Technology"
"my online banking auto-debit ho gaya kal raat se","Finance"
"After months of planning, we finally booked our flights to Kerala and I can't stop looking at pictures of the backwaters we're going to visit.","Travel"
"the teacher recommended a place that serves amazing paneer tikka","Food"
"Lately I feel really happy after that conversation, and I don't know why.","Mood/Emotion"
"I'll be working from home right now to complete the status update.","Work/Office"
"I took a half day this month to catch up on the vendor contract.","Work/Office"
"I'm not sure whether to take a flight or drive to Kerala, since i'm not sure whether to take a train or drive to Mumbai.","Travel"
"Ghar pe sab the long queue at the grocery store ke baare mein baat kar rahe the is weekend.","General/Other"
"I took a half day since noon to catch up on the budget proposal.","Work/Office"
"the shopkeeper helped me understand the group presentation better.","Education"
"landlord ne ek achi brand suggest ki a new smartphone ke liye","Shopping"
"Mujhe kal se jee michlana ho raha hai.","Health"
"Monday se leadership ke saamne performance review present karna hai, uske upar se hamari team status update pe atki hui hai kuch ghanton se.","Work/Office"
"Friday tak ghar pe noodles banane ki koshish ki, jabki kal raat se ghar pe a vegetable stir fry banane ki koshish ki.","Food"
"We talked about the neighbor's new dog for a while right now.","General/Other"
"Friday tak ghar pe tacos banane ki koshish ki.","Food"
"my manager recommended a place that serves amazing a cheese pizza.","Food"
"my appointment for a migraine got rescheduled","Health"
"the history assignment expectation se zyada tough nikal raha hai","Education"
"the delivery for a set of headphones is delayed next month","Shopping"
"I finally cleared this month's rent since last night.","Finance"
"kal se the chemistry lab report submit karna hai kyunki poori raat jaagkar the coding assignment complete kiya.","Education"
"Abhi Mumbai wali local train ke liye check-in kar liya.","Travel"
"I can't shake off this really excited feeling since the plans got cancelled.","Mood/Emotion"
"I've started taking medicine for nausea","Health"
"i had to reinstall my external hard drive last night, since i had to reinstall my browser this morning.","Technology"
"I'm planning a trip to Bangalore right now plus we're renting a car once we reach Darjeeling.","Travel"
"abhi ghar pe butter chicken banane ki koshish ki.","Food"
"mere colleague ne bola specialist ko dikhao sar dard ke liye.","Health"
"I tried making a vegetable stir fry at home for the past three days but we're hosting friends this weekend and planning to make a vegetable stir fry.","Food"
"I ordered a handbag online this morning.","Shopping"
"Monday se thoda time the noisy construction nearby sambhalne mein laga","General/Other"
"Honestly, I feel unusually calm since things didn't go as planned.","Mood/Emotion"
"my brother recommended a good brand for a dining table, while i ordered a pair of jeans online last night.","Shopping"
"I can't stop coughing.","Health"
"after that conversation, I've just been feeling very motivated.","Mood/Emotion"
"I need to finish the code review before since last week, and our team is stuck on the performance review next month.","Work/Office"
"abhi wale the class test ko lekar nervous hoon.","Education"
"I think I need a checkup for blurry vision.","Health"
"my password manager internet se connect hi nahi ho raha is hafte, par my external hard drive internet se connect hi nahi ho raha pichle hafte se.","Technology"
"There's a meeting about the budget proposal scheduled these days.","Work/Office"
"our train to Kolkata got delayed since Monday","Travel"
"Our team is stuck on the marketing plan since morning but i'll be working from home since yesterday to complete the quarterly report.","Work/Office"
"aaj half day liya sales deck complete karne ke liye, par abhi half day liya performance review complete karne ke liye.","Work/Office"
"pet dard ki wajah se is hafte kaam pe nahi ja paaya.","Health"
"I need to exchange a winter jacket for a different size.","Shopping"
"I had to reinstall my external hard drive since noon.","Technology"
"It's hard to explain but I feel emotionally exhausted after that argument.","Mood/Emotion"
"kuch minute pehle wale the history assignment ko lekar nervous hoon uske alawa dopahar se wale the thesis draft ko lekar nervous hoon.","Education"
"I'm planning a trip to Delhi tomorrow.","Travel"
"Aajkal demotivated feel ho raha hai us baat cheet ke baad","Mood/Emotion"
"I feel like swelling in my ankle is getting worse since last night since i feel like a headache is getting worse just now.","Health"
"Our teacher gave extra homework for the final exams so i have to submit the coding assignment this morning.","Education"
"aaj shaam ko the office printer reinstall karna pada, kyunki customer support wale ne my smartwatch app fix karne mein madad ki.","Technology"
"Our connecting flight to Udaipur got delayed for a couple of hours, though i finally booked a local train ticket to Goa.","Travel"
"i've started taking medicine for blurry vision","Health"
"Friday tak the class test submit karna hai, isliye subah se wale the practical exam ko lekar nervous hoon.","Education"
"I'm planning a trip to Ooty this afternoon.","Travel"
"my mother recommended a place that serves amazing a vegetable stir fry because i tried making pav bhaji at home in a while.","Food"
"Abhi Goa wali connecting flight ke liye check-in kar liya.","Travel"
"my sister advised me to review my credit score","Finance"
"I compared prices for a pair of sneakers across three websites while the delivery for a smartwatch is delayed from tomorrow.","Shopping"
"i need to pay my savings account a few minutes ago, but the shopkeeper advised me to review a fixed deposit.","Finance"
"doctor ne the traffic on the way home ka zikr kiya baat cheet mein.","General/Other"
"We talked about the power cut yesterday for a while since yesterday but the neighbor's new dog came up randomly in conversation tomorrow.","General/Other"
"i had to skip work due to a headache by Friday though i've been dealing with a running nose this evening.","Health"
"landlord ne bola specialist ko dikhao takhne mein sujan ke liye.","Health"
"We're hosting friends this afternoon and planning to make tacos.","Food"
"It's hard to explain but I feel demotivated after that conversation.","Mood/Emotion"
"The power went out for almost four hours yesterday because of the storm, so we ended up playing board games by candlelight the whole evening.","General/Other"
"Aakhirkar marketing plan close kar diya abhi.","Work/Office"
"is weekend online a backpack order kiya.","Shopping"
"The delivery for a handbag is delayed from tomorrow.","Shopping"
"I had to reinstall my email account right now","Technology"
"Our local train to Jaipur got delayed last night.","Travel"
"The delivery for a backpack is delayed from tomorrow.","Shopping"
"I need to finish the onboarding documents before since last week.","Work/Office"
"aaj shaam ko dost aa rahe hain aur momos banane ka plan hai halaanki agle hafte dost aa rahe hain aur tacos banane ka plan hai.","Food"
"mummy ne ek achi brand suggest ki a dining table ke liye.","Shopping"
"Friday tak walk karte waqt the weekend plans dikha","General/Other"
"kuch ghanton se the operating system reinstall karna pada.","Technology"
"my friend helped me fix my laptop.","Technology"
"landlord ne ek jagah bataayi jahan ka idli sambar zabardast hai.","Food"
"Monday se a documentary I watched ke baare mein baat hui.","General/Other"
"My the loan application got auto-debited since noon.","Finance"
"I ordered a dining table online tomorrow.","Shopping"
"Darjeeling wali flight subah se delay ho gayi jabki abhi Delhi wali flight ke liye check-in kar liya.","Travel"
"i noticed the power cut yesterday while walking since morning, so i noticed the festival preparations while walking since two days.","General/Other"
"Our train to Darjeeling got delayed from tomorrow","Travel"
"The delivery for a laptop bag is delayed by Friday.","Shopping"
"I noticed the neighbor's new dog while walking these days","General/Other"
"Just bought a new bag.","Shopping"
"i noticed the neighbor's new dog while walking since yesterday","General/Other"
"mummy ne mathematics samjhaane mein madad ki.","Education"
"I finally decided to switch to a new laptop after the old one kept overheating and shutting down randomly during important video calls.","Technology"
"Bataana mushkil hai lekin wo message padhne ke baad bahut akela hoon","Mood/Emotion"
"sab kuch ek saath ho raha hai isliye bas ek ajeeb sa thoda low feeling aa rahi hai","Mood/Emotion"
"I'm still preparing for the thesis draft.","Education"
"Aakhirkar physics ka result aa gaya","Education"
"I ordered a winter jacket online just now, while the delivery for a dining table is delayed this afternoon.","Shopping"
"the loan application auto-debit ho gaya abhi.","Finance"
"my brother mentioned the power cut yesterday during our chat.","General/Other"
"the company website achanak kaam karna band kar diya is weekend uske alawa the new software update kiya aur ab kuch bhi thik se kaam nahi kar raha.","Technology"
"I can't shake off this extremely stressed feeling thinking about the future.","Mood/Emotion"
"teen websites pe a winter jacket ka price compare kiya","Shopping"
"kal se Kolkata ke liye packing karni hai.","Travel"
"I'm nervous about physics scheduled tomorrow.","Education"
"customer support helped me fix the new software update.","Technology"
"raat se the operating system reinstall karna pada.","Technology"
"the garden we're planting ke baare mein batana bhool gaya tha","General/Other"
"my password manager keeps crashing since morning.","Technology"
"monday se mathematics submit karna hai","Education"
"parso thoda time the neighborhood cat sambhalne mein laga","General/Other"
"I spent some time dealing with the garden we're planting since last week.","General/Other"
"Kolkata wali road trip is mahine delay ho gayi.","Travel"
"my neighbor recommended a place that serves amazing pancakes","Food"
"The flight to Ooty was surprisingly comfortable.","Travel"
"I've been feeling irritated after hearing the news.","Mood/Emotion"
"parso dinner mein idli sambar order kiya","Food"
"I feel like joint pain is getting worse since two days, and an ear infection has been bothering me next month.","Health"
"Aakhirkar the electricity bill clear kar diya parso, uske upar se aakhirkar the loan application clear kar diya subah se.","Finance"
"udaipur wali overnight bus kuch ghanton se delay ho gayi, aur is hafte Singapore ke liye packing karni hai.","Travel"
"Abhi bhi the group presentation ki taiyari kar raha hoon uske alawa abhi wale the scholarship application ko lekar nervous hoon.","Education"
"Aakhirkar the electricity bill clear kar diya subah se.","Finance"
"The delivery for a set of headphones is delayed this morning and the delivery for a new smartphone is delayed today.","Shopping"
"aaj online a handbag order kiya.","Shopping"
"I need to pack for Rishikesh since morning, and our local train to Ladakh got delayed since two days.","Travel"
"Ghar pe sab the neighbor's new dog ke baare mein baat kar rahe the is mahine","General/Other"
"Mujhe pichle teen din se sar dard ho raha hai.","Health"
"i have to submit physics in a while","Education"
"my phone baar crash ho raha hai kal raat se.","Technology"
"the Wi-Fi router keeps crashing a few minutes ago","Technology"
"my browser suddenly stopped working since last week","Technology"
"I tried making rajma chawal at home by Friday.","Food"
"sunglasses ki delivery late ho rahi hai is mahine.","Shopping"
"Main thoda low feel kar raha hoon wo message padhne ke baad","Mood/Emotion"
"Ooty wali train kuch minute pehle delay ho gayi.","Travel"
"abhi the practical exam submit karna hai.","Education"
"Main ajeeb sa calm feel kar raha hoon us bahas ke baad.","Mood/Emotion"
"boss ne ek achi brand suggest ki a pair of jeans ke liye.","Shopping"
"the store had a huge sale on a smartwatch since noon and the delivery for a laptop bag is delayed in a while.","Shopping"
"landlord ne the semester project samjhaane mein madad ki.","Education"
"Goa wali local train kaafi comfortable thi.","Travel"
"agle hafte mathematics submit karna hai","Education"
"The deadline for the quarterly report got moved up since last night.","Work/Office"
"my browser baar crash ho raha hai kal isliye teacher ne my external hard drive fix karne mein madad ki.","Technology"
"chakkar ki wajah se subah se kaam pe nahi ja paaya.","Health"
"abhi dinner mein butter chicken order kiya.","Food"
"I spent some time dealing with the weekend plans just now.","General/Other"
"The delivery for a dining table is delayed this month.","Shopping"
"Lately I feel quite anxious since I've been so busy, and I don't know why.","Mood/Emotion"
"aakhirkar Jaipur ke liye cab ki ticket book kar li","Travel"
"I have to submit the scholarship application this weekend.","Education"
"I couldn't sleep properly because of dizziness a few minutes ago.","Health"
"it's hard to explain but I feel hopeful because I miss my old friends","Mood/Emotion"
"my salary mein kuch mismatch hai jise sort karna hai, kyunki mere manager ne bola my online banking review karo.","Finance"
"Pata nahi kyun par us baat cheet ke baad bahut irritated lag raha hoon.","Mood/Emotion"
"Samajh nahi aa raha cab loon ya khud drive karke Udaipur jaaun halaanki abhi Jaipur ghumne ka plan bana raha hoon.","Travel"
"a dining table pe zabardast discount mila.","Shopping"
"mere dost ne ek achi brand suggest ki a study lamp ke liye","Shopping"
"this month's rent auto-debit ho gaya kal raat se.","Finance"
"I need to pack for Singapore this evening but our local train to Singapore got delayed right now.","Travel"
"papa ne the final exams samjhaane mein madad ki.","Education"
"agle mahine dost aa rahe hain aur rajma chawal banane ka plan hai.","Food"
"I finally got my results for the final exams, while i have to submit the group presentation from tomorrow.","Education"
"Technician ne my smartwatch app dekha lekin issue nahi mila.","Technology"
"Hamari team audit checklist pe atki hui hai dopahar se.","Work/Office"
"kal raat se Udaipur ke liye packing karni hai, par ooty wali local train subah se delay ho gayi.","Travel"
"is hafte wale the history assignment ko lekar nervous hoon.","Education"
"I can't figure out why my email account is so slow since morning, while i can't figure out why the office printer is so slow this evening.","Technology"
"Aakhirkar Delhi ke liye train ki ticket book kar li.","Travel"
"I need to pay the tax filing from tomorrow.","Finance"
"there's a meeting about the vendor contract scheduled since Monday, and i need to finish the sprint review before this weekend.","Work/Office"
"pichle teen din se my bank statement pay karna hai, lekin aakhirkar my savings account clear kar diya pichle hafte se.","Finance"
"Yeh kaafi khush wala feeling jaa hi nahi raha purane dosto ki yaad aane se.","Mood/Emotion"
"meri behen ne bola thoda rest kar jee michlana thik ho jayega.","Health"
"Aajkal poori tarah drained feel ho raha hai sab kuch ek saath ho raha hai isliye","Mood/Emotion"
"Mujhe parso se ghutno mein dard ho raha hai, par dhire jee michlana se recover kar raha hoon.","Health"
"my roommate recommended a place that serves amazing rajma chawal.","Food"
"Our road trip to Ooty got delayed by Friday.","Travel"
"the company website internet se connect hi nahi ho raha abhi lekin aaj shaam ko the Wi-Fi router reinstall karna pada.","Technology"
"Mujhe is weekend se kaan mein infection ho raha hai.","Health"
"I'm nervous about the scholarship application scheduled this evening since i'm nervous about the class test scheduled in a while.","Education"
"my colleague scheduled a call about the status update a few minutes ago","Work/Office"
"is hafte dinner mein pancakes order kiya","Food"
"my savings account auto-debit ho gaya abhi.","Finance"
"kal mathematics submit karna hai.","Education"
"pichle hafte se walk karte waqt the new furniture we bought dikha.","General/Other"
"teacher ne bola thoda rest kar acidity thik ho jayega.","Health"
"I can't figure out why the company website is so slow since noon.","Technology"
"Everyone at home was discussing the weather since last night.","General/Other"
"I tried making dosa at home tomorrow.","Food"
"Lately I feel unusually calm without any clear reason, and I don't know why.","Mood/Emotion"
"abhi Rishikesh ke liye packing karni hai.","Travel"
"agle mahine dost aa rahe hain aur a vegetable stir fry banane ka plan hai.","Food"
"There's a strange feeling of being emotionally exhausted after a long day.","Mood/Emotion"
"landlord ne ek achi brand suggest ki a dining table ke liye, isliye hafton sochne ke baad aakhirkar sunglasses khareed liya.","Shopping"
"my mother recommended a place that serves amazing tacos.","Food"
"meri behen ne ek jagah bataayi jahan ka idli sambar zabardast hai.","Food"
"I finally cleared my monthly budget since last night.","Finance"
"i had to reinstall my phone since two days, because my password manager suddenly stopped working this morning.","Technology"
"I tried making noodles at home since two days.","Food"
"do din se random mein the community meeting ki baat chal padi","General/Other"
"i have to submit the group presentation right now, while i have to submit the coding assignment this month.","Education"
"a smartwatch ki delivery late ho rahi hai pichle teen din se par store mein a pair of jeans pe badi sale lagi hai agle mahine.","Shopping"
"raat se thoda time the family gathering this weekend sambhalne mein laga","General/Other"
"I finally booked a cab ticket to Darjeeling so our road trip to Shimla got delayed this afternoon.","Travel"
"my salary auto-debit ho gaya raat se","Finance"
"my smartwatch app achanak kaam karna band kar diya is weekend.","Technology"
"agle mahine se chakkar thik nahi ho raha, uske upar se dhire kaan mein infection se recover kar raha hoon.","Health"
"dopahar se Goa ghumne ka plan bana raha hoon par jaipur wali road trip kuch ghanton se delay ho gayi.","Travel"
"I spent almost two hours on the phone with the internet provider trying to figure out why the Wi-Fi router keeps disconnecting every few minutes.","Technology"
"Restaurant ka butter chicken bahut tasty tha.","Food"
"Sach kahoon toh news sunne ke baad, mann bahut nervous hai.","Mood/Emotion"
"I'm not sure whether to take a flight or drive to Kolkata, but i need to pack for Delhi next week.","Travel"
"customer support wale ne bola the tax filing review karo lekin my mutual fund investment auto-debit ho gaya agle hafte.","Finance"
"is mahine dinner mein butter chicken order kiya.","Food"
"my colleague recommended a good brand for a laptop bag.","Shopping"
"abhi se kaafi khaansi thik nahi ho raha, kyunki mujhe kal raat se halka bukhar ho raha hai.","Health"
"I just checked in for my overnight bus to Delhi since our cab to Kolkata got delayed these days.","Travel"
"kal se my smartwatch app reinstall karna pada uske alawa the office server baar crash ho raha hai aaj shaam ko.","Technology"
"parso wale the coding assignment ko lekar nervous hoon.","Education"
"I noticed the traffic on the way home while walking right now.","General/Other"
"Restaurant ka noodles bahut tasty tha.","Food"
"Recovering slowly from stomach pain since noon.","Health"
"Lately I feel irritated since the plans got cancelled, and I don't know why.","Mood/Emotion"
"I skipped lunch and just had tacos instead.","Food"
"bina kisi wajah ke, bas ek ajeeb sa proud feeling aa rahi hai","Mood/Emotion"
"my mother mentioned the new furniture we bought during our chat","General/Other"
"ghar pe sab the neighborhood cat ke baare mein baat kar rahe the thodi der mein","General/Other"
"my browser internet se connect hi nahi ho raha subah se, aur my smartwatch app achanak kaam karna band kar diya agle mahine.","Technology"
"We ordered a cheese pizza for dinner since last week","Food"
"my smartwatch app won't connect to the internet from tomorrow even though i had to reinstall my laptop since last night.","Technology"
"Aaj clinic jaana hai migraine check karwane.","Health"
"the shopkeeper helped me understand the scholarship application better, but my sister helped me understand the group presentation better.","Education"
"Aakhirkar the tax filing clear kar diya Monday se.","Finance"
"mere colleague ne bola specialist ko dikhao kamzori ke liye.","Health"
"kal se dost aa rahe hain aur butter chicken banane ka plan hai.","Food"
"parso dinner mein noodles order kiya.","Food"
"There's a meeting about the status update scheduled tomorrow.","Work/Office"
"a pair of running shoes ki delivery late ho rahi hai is hafte, par customer support wale ne ek achi brand suggest ki a kitchen mixer ke liye.","Shopping"
"Mumbai wali local train aaj delay ho gayi, kyunki goa ke hotel ne free mein room upgrade kar diya.","Travel"
"mere colleague ne bola thoda rest kar jee michlana thik ho jayega.","Health"
"Aakhirkar a fixed deposit clear kar diya kuch ghanton se, aur bank se my mutual fund investment ke baare mein notification aayi.","Finance"
"kal dinner mein paneer tikka order kiya.","Food"
"I finally booked a train ticket to Udaipur though our overnight bus to Delhi got delayed this weekend.","Travel"
"The delivery for a handbag is delayed for a couple of hours so the store had a huge sale on a dining table a few minutes ago.","Shopping"
"Main demotivated feel kar raha hoon news sunne ke baad.","Mood/Emotion"
"Main thoda low feel kar raha hoon future ke baare mein soch kar.","Mood/Emotion"
"I couldn't sleep properly because of chest tightness this weekend.","Health"
"I had to reinstall the Wi-Fi router right now.","Technology"
"I finally cleared the tax filing by Friday and the teacher advised me to review my monthly budget.","Finance"
"my manager scheduled a call about the audit checklist for a couple of hours","Work/Office"
"papa ne bola my monthly budget review karo","Finance"
"aaj shaam ko online a formal shirt order kiya isliye monday se online a kitchen mixer order kiya.","Shopping"
"We ordered a fruit salad for dinner just now.","Food"
"body aches has been bothering me this weekend.","Health"
"Everyone at home was discussing the new furniture we bought since two days.","General/Other"
"I'm nervous about the online course scheduled last night","Education"
"code review ko lekar meeting hai is hafte jabki kuch ghanton se half day liya sales deck complete karne ke liye.","Work/Office"
"The store had a huge sale on a kitchen mixer since morning.","Shopping"
"Purana laptop baar overheat hoke important video calls ke beech mein band ho jaata tha isliye aakhirkar naya lene ka decide kiya.","Technology"
"abhi the noisy construction nearby ke baare mein baat hui","General/Other"
"We talked about the weather for a while right now.","General/Other"
"my father recommended a place that serves amazing dosa plus we're hosting friends this morning and planning to make paneer tikka.","Food"
"a fixed deposit auto-debit ho gaya abhi.","Finance"
