"text","category","language"
"My appetite has completely disappeared this week.","Health","English"
"I've got a bruise on my shin that's still tender.","Health","English"
"Isko modify karna ho toh mere paas kya options hain?","General","Hinglish"
"Yeh alag alag tiers ka kya matlab hai, bata sakte ho?","General","Hinglish"
"Khaansi khaansi ke aawaaz baith gayi hai.","Health","Hinglish"
"Honestly I just want to be left alone for a while.","Mood","English"
"What steps should I follow to complete the setup?","General","English"
"Delivery boy bahut unprofessional aur rude tarike se pesh aaya.","Complaint","Hinglish"
"What's the process for requesting a callback?","General","English"
"We got stuck at immigration for almost an hour.","Travel","English"
"Expense claims ke liye ab ek naya approval workflow hai.","Work/Office","Hinglish"
"Yeh purane version se kaise compare hota hai?","General","Hinglish"
"The client asked for a call to clarify the requirements.","Work/Office","English"
"There's a system outage affecting the whole team's workflow.","Work/Office","English"
"They charged me twice for the same order.","Complaint","English"
"My mind keeps racing and I can't calm down.","Mood","English"
"I have to prepare handover notes before my leave starts.","Work/Office","English"
"Agle mahine coast ke saath road trip plan kar rahe hain.","Travel","Hinglish"
"The client pushed the go-live date by two weeks.","Work/Office","English"
"Our sprint planning session is happening right after lunch.","Work/Office","English"
"Packaging itni kharab thi ki aadha saman gir gaya bahar.","Complaint","Hinglish"
"Apni request ka status kaise check karu?","General","Hinglish"
"Halka bukhar bana hua hai poore hafte se.","Health","Hinglish"
"Woh khabar sunte hi dil mein ek aaramdayak garmi feel hui.","Mood","Hinglish"
"Jo kar paaya usse aaj bahut proud feel ho raha hai.","Mood","Hinglish"
"We're rolling out the new system next quarter.","Work/Office","English"
"Iske baare mein latest updates kahan check kar sakta hoon?","General","Hinglish"
"Aaj subah uthte hi ajeeb si ummeed feel hui.","Mood","Hinglish"
"Is setup ke instructions kahan mil sakti hain?","General","Hinglish"
"My luggage didn't show up on the carousel at all.","Travel","English"
"Naye project ke liye ek naya vendor onboard kar rahe hain.","Work/Office","Hinglish"
"What time does the store open on weekdays?","General","English"
"Technician bina issue fix kiye hi chala gaya.","Complaint","Hinglish"
"Delivery wala box gira kar bahar hi chhod gaya.","Complaint","Hinglish"
"Naya employee kal HR ke saath orientation start karega.","Work/Office","Hinglish"
"I've been assigned to lead the client onboarding process.","Work/Office","English"
"My laptop crashed right before the big presentation.","Work/Office","English"
"My wrist swelled up after typing too much yesterday.","Health","English"
"The train journey through the valley was breathtaking.","Travel","English"
"Kal raat late tak ruk kar client deliverable finish kiya.","Work/Office","Hinglish"
"Immigration mein lagbhag ek ghanta phase rahe.","Travel","Hinglish"
"Ghutno mein bahut dard hai, seedhi chadhna mushkil ho gaya.","Health","Hinglish"
"There's a bounce in my step I can't quite explain today.","Mood","English"
"How do I get clarification on the terms mentioned here?","General","English"
"Is baar regular hotel ke bajaye homestay book kiya.","Travel","Hinglish"
"Subah se kuch bhi khaya nahi tik raha hai.","Health","Hinglish"
"Subah se office ka internet band pada hua hai.","Work/Office","Hinglish"
"Bina meri permission ke subscription upgrade ho gaya, zyada paisa kaata.","Complaint","Hinglish"
"Is sprint mein team ek developer se kam hai.","Work/Office","Hinglish"
"Aaj subah bilkul fresh aur khush uthaa hoon.","Mood","Hinglish"
"Leave shuru hone se pehle handover notes taiyar karni hain.","Work/Office","Hinglish"
"Inn charges ka breakdown kahan mil sakta hai?","General","Hinglish"
"Yahan baith kar bilkul shanti feel ho rahi hai abhi.","Mood","Hinglish"
"There's a pulsing pain right behind my temple.","Health","English"
"Kal zyada type karne se kalai suj gayi hai.","Health","Hinglish"
"Beach town ya pahad, abhi tak decide nahi kar paaya.","Travel","Hinglish"
"What's the general guideline for something like this?","General","English"
"Dost ke message ke baad bahut appreciated feel hua.","Mood","Hinglish"
"Kanpati ke peeche ek dhadakti dard ban gayi hai.","Health","Hinglish"
"Is step ke liye kya required hai, kahan check karu?","General","Hinglish"
"Agle mahine ki trip ki dates abhi bhi finalize kar raha hoon.","Travel","Hinglish"
"Subah se aankhein suji hui aur bhaari lag rahi hain.","Health","Hinglish"
"Resourcing issue ki wajah se project delay ho gaya.","Work/Office","Hinglish"
"The hotel room wasn't ready even though we arrived on time.","Travel","English"
"The hotel upgraded our room without any extra charge.","Travel","English"
"Presentation ke baad confidence ka ek josh feel ho raha hai.","Mood","Hinglish"
"I've been getting migraines almost every other day now.","Health","English"
"They charged an extra convenience fee that wasn't shown earlier.","Complaint","English"
"I have to prepare the monthly report before the weekend.","Work/Office","English"
"I need to finalize the vendor contract by Friday.","Work/Office","English"
"What steps come after the initial application stage?","General","English"
"Agla stop jaane se pehle purana kila explore kiya.","Travel","Hinglish"
"They billed my card for a service I cancelled months ago.","Complaint","English"
"Naak poori tarah band hai, saans lena mushkil hai.","Health","Hinglish"
"Can you explain the criteria used for this ranking?","General","English"
"I snapped at my friend for no real reason today.","Mood","English"
"Jhukte hi peeth pakad jaati hai aajkal.","Health","Hinglish"
"The app keeps crashing every time I try to open it.","Complaint","English"
"There's a new approval workflow for expense claims now.","Work/Office","English"
"Mentally bilkul burn out feel ho raha hoon abhi.","Mood","Hinglish"
"Baar baar jee michla raha hai bina wajah ke.","Health","Hinglish"
"Us baat ke baad emotionally bilkul khali sa feel ho raha hai.","Mood","Hinglish"
"What's the general timeline for something like this?","General","English"
"Overcharge kiya gaya hai aur store correction dene se mana kar raha hai.","Complaint","Hinglish"
"I feel disconnected from everyone around me.","Mood","English"
"Aajkal sabke saamne dabe dabe se rehna padta hai.","Mood","Hinglish"
"The service was extremely slow despite the restaurant being half empty.","Complaint","English"
"Yahan aate hi ek aaramdayak shanti feel hoti hai hamesha.","Mood","Hinglish"
"Mujhe subah se sar mein dard ho raha hai.","Health","Hinglish"
"Din bhar thand lagti rahi bina wajah ke.","Health","Hinglish"
"I've been stuck in meetings since nine this morning.","Work/Office","English"
"My tongue feels swollen after trying that new spice.","Health","English"
"I've had a stubborn earache since swimming yesterday.","Health","English"
"My manager wants me to present the findings at the town hall.","Work/Office","English"
"Billing address mix up ho gaya aur order kahin aur chala gaya.","Complaint","Hinglish"
"My eyes are watery and itchy, must be pollen.","Health","English"
"I feel a quiet sense of accomplishment tonight.","Mood","English"
"We took the scenic route instead of the highway.","Travel","English"
"Isko shuru mein set up karne ka recommended tareeka kya hai?","General","Hinglish"
"Referral program actually kaise function karta hai?","General","Hinglish"
"I need to figure out visa-on-arrival details for this country.","Travel","English"
"How do I reset my password on this website?","General","English"
"Badge kaam nahi kiya toh manually sign in karna pada.","Work/Office","Hinglish"
"Highway ke bajaye humne scenic route liya.","Travel","Hinglish"
"Back to back meetings ki wajah se tasks peeche chal rahe hain.","Work/Office","Hinglish"
"Meeting se pehle budget numbers finalize karne hain.","Work/Office","Hinglish"
"I feel bloated no matter what I eat lately.","Health","English"
"Aaj muskurahat ruk hi nahi rahi hai, sab kuch sahi lag raha hai.","Mood","Hinglish"
"There's a client escalation that needs immediate attention.","Work/Office","English"
"My refund got processed to the wrong account entirely.","Complaint","English"
"Is hafte ek senior colleague ke saath shadow karne ko bola gaya hai.","Work/Office","Hinglish"
"Basic aur premium package mein kya kya include hai?","General","Hinglish"
"The service technician made the problem worse than before.","Complaint","English"
"Sightseeing wale din ke liye local transport arrange karna hai.","Travel","Hinglish"
"What's included in the basic package versus the premium one?","General","English"
"We reached the station just as the train was pulling out.","Travel","English"
"Manager ne aaj end of day tak status update maanga hai.","Work/Office","Hinglish"
"Verification wali cheez usually kaise kaam karti hai?","General","Hinglish"
"Kya do modes ke beech switch karne ka koi tareeka hai?","General","Hinglish"
"Where do I submit the application form once it's filled?","General","English"
"My manager wants weekly status updates going forward.","Work/Office","English"
"Yeh process kaise kaam karta hai, iske baare mein aur kahan padh sakta hoon?","General","Hinglish"
"We changed our travel plans because of the storm warning.","Travel","English"
"Woh problem finally solve karke bahut vijayi feel ho raha hai.","Mood","Hinglish"
"Is baar hamara train compartment kaafi khaali tha.","Travel","Hinglish"
"The flight attendant announced a delay due to weather.","Travel","English"
"I feel unstoppable after finishing that project.","Mood","English"
"The product broke the very first time I used it.","Complaint","English"
"Customer support kept transferring my call without solving anything.","Complaint","English"
"Pichle do din ka hours log karna bhool gaya.","Work/Office","Hinglish"
"The flight got delayed again, this time by two more hours.","Travel","English"
"Sore muscles from the gym are making it hard to walk.","Health","English"
"My complaint has been reassigned four times without progress.","Complaint","English"
"Lag raha hai kuch ho raha hai, poore badan mein dard hai.","Health","Hinglish"
"Mujhe pata kaise chalega ki main is option ke liye qualify karta hoon?","General","Hinglish"
"The train was so crowded we had to stand the whole way.","Travel","English"
"Is it possible to change the delivery address after ordering?","General","English"
"Excitement ke maare divaron se takra jaunga jaise lag raha hai.","Mood","Hinglish"
"Driver resort dhundhte dhundhte raasta bhatak gaya.","Travel","Hinglish"
"App ke rate se taxi fare kaafi zyada nikla.","Travel","Hinglish"
"Hotel ne bina extra charge ke room upgrade kar diya.","Travel","Hinglish"
"Product bilkul ek cheap nakli copy jaisa lag raha hai.","Complaint","Hinglish"
"Kaan mein ajeeb si awaaz aa rahi hai, thoda tension ho gaya.","Health","Hinglish"
"Cutoff se pehle apni leave application submit karni hai.","Work/Office","Hinglish"
"Abhi kuch bhi sungh ya taste nahi kar pa raha hoon.","Health","Hinglish"
"Sach mein aaj kisi se baat nahi karni, akela rehna hai.","Mood","Hinglish"
"Is there a guide available for first-time users?","General","English"
"I'm still waiting on approval from the finance team.","Work/Office","English"
"Jo delivery time promise kiya gaya tha usse double time laga.","Complaint","Hinglish"
"Mall ke paas hamari cab bahut bade traffic jam mein phas gayi.","Travel","Hinglish"
"There's a rash spreading on my arm and it itches badly.","Health","English"
"Lagta hai poori duniya ka bojh utha rakha hai maine.","Mood","Hinglish"
"How do I know what happens at each stage?","General","English"
"A strange sense of relief washed over me just now.","Mood","English"
"The delivery took twice as long as what was promised.","Complaint","English"
"My complaint has gone completely unanswered for over a month.","Complaint","English"
"How do I understand which tier applies to me?","General","English"
"The new hire starts orientation with HR tomorrow.","Work/Office","English"
"I feel undervalued no matter how hard I try.","Mood","English"
"The client wants changes to the proposal before Thursday.","Work/Office","English"
"How long does the verification process usually take?","General","English"
"The rental car had a flat tire just outside the city.","Travel","English"
"Deadline aage badha di gayi hai, ab jaldi karni padegi.","Work/Office","Hinglish"
"Ek ajeeb sa bojh mehsoos ho raha hai bina wajah ke.","Mood","Hinglish"
"I'm double-checking the visa requirements before we leave.","Travel","English"
"I need to escalate this to my team lead.","Work/Office","English"
"Aage badhne se pehle manager ne risk assessment maanga hai.","Work/Office","Hinglish"
"My patience is running thinner than usual today.","Mood","English"
"Package bilkul damaged aur bekaar condition mein aaya.","Complaint","Hinglish"
"My energy levels have been rock bottom lately.","Health","English"
"I have to prep for the annual audit starting next week.","Work/Office","English"
"Yeh feature actually kaise kaam karta hai, bata sakte hain?","General","Hinglish"
"Sab kuch jis tarah hua uske liye sach mein shukar guzaar hoon.","Mood","Hinglish"
"I feel truly at ease for the first time in weeks.","Mood","English"
"Unki taraf se order cancel kar diya bina kisi communication ke.","Complaint","Hinglish"
"We explored the old fort before heading to the next stop.","Travel","English"
"Poora process usually kaise unfold hota hai?","General","Hinglish"
"I'm behind on my tasks because of back-to-back meetings.","Work/Office","English"
"Friday tak vendor contract finalize karna hai.","Work/Office","Hinglish"
"App ke naye update mein aadhe features hi kaam nahi kar rahe.","Complaint","Hinglish"
"The staff seemed completely uninterested in helping me at all.","Complaint","English"
"Chhoti chhoti baat par bhi chid ja raha hoon jo pehle nahi hota tha.","Mood","Hinglish"
"Gala itna kharab hai ki bolna bhi mushkil ho raha hai.","Health","Hinglish"
"Is Friday office mein team-building activity hai.","Work/Office","Hinglish"
"My throat closes up a bit whenever I eat nuts.","Health","English"
"I feel weak in the knees after standing too long.","Health","English"
"How do these two features differ from one another?","General","English"
"We took a scenic train ride through the countryside.","Travel","English"
"Raat ko khaansi rukti hi nahi, neend kharab ho rahi hai.","Health","Hinglish"
"There's a quiet contentment I've been carrying all day.","Mood","English"
"Cab driver airport ka bilkul galat route le gaya.","Travel","Hinglish"
"Baar baar dhyan bhatak raha hai, vichar bikhre hue hain.","Mood","Hinglish"
"My warranty claim keeps getting rejected for no clear reason.","Complaint","English"
"Something about today just put a spring in my step.","Mood","English"
"Aajkal khud ko bahut chhota aur unimportant feel karta hoon.","Mood","Hinglish"
"Lunch ke baad hi sprint planning session hone wala hai.","Work/Office","Hinglish"
"They quoted one price and billed me a completely different amount.","Complaint","English"
"My stomach has been growling and cramping oddly.","Health","English"
"In fields ka har ek ka kya matlab hai, bata sakte ho?","General","Hinglish"
"Is field ko sahi tarike se fill karne ka tareeka kya hai?","General","Hinglish"
"I need to close out the sprint board before Friday.","Work/Office","English"
"I feel oddly emotional watching that video just now.","Mood","English"
"In dono plans mein kya farak hai?","General","Hinglish"
"There's a comforting warmth I felt hearing that news.","Mood","English"
"The hotel charged extra fees they never mentioned upfront.","Complaint","English"
"Airport shuttle time pe kabhi nahi aayi.","Travel","Hinglish"
"How do I figure out which option suits me best?","General","English"
"I feel triumphant after finally cracking that problem.","Mood","English"
"There's a town hall meeting scheduled for all employees.","Work/Office","English"
"There's a comforting calm I feel whenever I'm here.","Mood","English"
"Fly karne ke bajaye weekend ke liye drive kar rahe hain.","Travel","Hinglish"
"I feel like I'm drowning in my own thoughts.","Mood","English"
"Is option ke baare mein aur information kaise le sakta hoon?","General","Hinglish"
"My manager wants the report on his desk by noon.","Work/Office","English"
"I feel oddly numb to everything happening around me.","Mood","English"
"Pichle mahine report kiya bug abhi tak fix nahi hua.","Complaint","Hinglish"
"I sprained my ankle jogging this morning.","Health","English"
"I feel like my patience is stretched paper thin right now.","Mood","English"
"My internet connection has been unstable for the third day straight.","Complaint","English"
"The customer service line disconnects automatically after ten minutes.","Complaint","English"
"Can you break down how this whole thing works?","General","English"
"I keep getting these sudden bouts of nausea.","Health","English"
"My subscription got upgraded without my consent, and I was charged more.","Complaint","English"
"I'm checking baggage allowance before packing everything.","Travel","English"
"Pait mein ghabrahat ke titliyan udd rahi hain abhi.","Mood","Hinglish"
"We're taking the night bus to save on a hotel stay.","Travel","English"
"Skin pe rashes ho gaye hain aur bahut khujli ho rahi hai.","Health","Hinglish"
"Unsubscribe karne ke baad bhi promotional emails aa rahe hain.","Complaint","Hinglish"
"Where can I find the nearest branch office?","General","English"
"Kya isko karne ki koi limit hai?","General","Hinglish"
"Khana thanda aur menu ki photo se bilkul alag aaya.","Complaint","Hinglish"
"Return karte waqt store ki apni hi return policy follow nahi hui.","Complaint","Hinglish"
"App har baar kholte hi crash ho jaata hai.","Complaint","Hinglish"
"Mood swings bahut ajeeb chal rahe hain aajkal.","Mood","Hinglish"
"Exam sochte hi seene mein jakadan si ho jaati hai.","Mood","Hinglish"
"Yeh kaam kaise karta hai, iske peeche ka logic bata sakte ho?","General","Hinglish"
"The cab app showed a much longer wait than usual.","Travel","English"
"We arrived at the airport way too early for the flight.","Travel","English"
"Collarbone ke paas ek gaanth si mehsoos ho rahi hai.","Health","Hinglish"
"The quarterly review meeting got moved to Friday.","Work/Office","English"
"Subah gardan mein akadan ke saath uthi.","Health","Hinglish"
"The app deducted money without completing the transaction.","Complaint","English"
"I'm finalizing the org chart for the new department structure.","Work/Office","English"
"Traffic made me late to the office again this morning.","Work/Office","English"
"Pait ke niche waala hissa chhune par dard karta hai.","Health","Hinglish"
"I can't smell or taste anything properly right now.","Health","English"
"I can't shake this restless, anxious feeling.","Mood","English"
"Every time I bend over my head starts pounding.","Health","English"
"Ek hi complaint teen baar submit ki, resolution kuch nahi mila.","Complaint","Hinglish"
"Kal shaam se bukhar aur badan dard shuru hua hai.","Health","Hinglish"
"The delivery guy dropped the box and just left it outside.","Complaint","English"
"The office relocated to a new floor last week.","Work/Office","English"
"There's tightness in my jaw, might be from clenching it.","Health","English"
"I've been double billed for two consecutive months now.","Complaint","English"
"Kal launch se pehle code freeze shuru ho raha hai.","Work/Office","Hinglish"
"Destination pe kharab mausam ki wajah se flight divert ho gayi.","Travel","Hinglish"
"What are the steps to complete this registration?","General","English"
"Aane wale changes ke baare mein aur kaise pata karu?","General","Hinglish"
"Our stand-up meeting ran way longer than usual today.","Work/Office","English"
"Main abhi kaunsa version use kar raha hoon, kaise check karu?","General","Hinglish"
"I've called five times and still no one has resolved my issue.","Complaint","English"
"I feel shaky and cold despite the warm room.","Health","English"
"Item ka description jo bataya gaya tha uske bilkul alag nikla.","Complaint","Hinglish"
"Aankh ke around laalpan aur jalan ho rahi hai.","Health","Hinglish"
"Purane archived records tak kaise access karu?","General","Hinglish"
"What's the usual next step after this is done?","General","English"
"Ferry crossing ke liye sabse jaldi wala slot book kiya.","Travel","Hinglish"
"Jhukte hi sar mein dhak dhak dard shuru ho jaata hai.","Health","Hinglish"
"Jo tracking number diya woh kaam hi nahi kar raha.","Complaint","Hinglish"
"Yeh information kaise update karu?","General","Hinglish"
"Office pichle hafte ek naye floor pe shift ho gaya.","Work/Office","Hinglish"
"Zindagi jaise chal rahi hai usse bahut santusht hoon aajkal.","Mood","Hinglish"
"Connecting flight mein airline ne humara baggage kho diya.","Travel","Hinglish"
"Overnight bus ride surprisingly kaafi comfortable thi.","Travel","Hinglish"
"Aaj kuch aisa hai ki chaal mein bhi ek spring aa gaya.","Mood","Hinglish"
"We hit terrible traffic on the highway heading out of town.","Travel","English"
"Friday se pehle sprint board close karna hai.","Work/Office","Hinglish"
"I feel invincible after that workout today.","Mood","English"
"What's the usual turnaround time for this kind of request?","General","English"
"Is ticket ko close karne se pehle approval chahiye.","Work/Office","Hinglish"
"Isko approve karwane mein kya steps involve hain?","General","Hinglish"
"Kal hi is quarter ke performance goals revise huye hain.","Work/Office","Hinglish"
"Peeth mein achanak se tez dard uth raha hai.","Health","Hinglish"
"Nuts khane par gala thoda band sa lagta hai.","Health","Hinglish"
"Hotel stay bachane ke liye hum night bus le rahe hain.","Travel","Hinglish"
"The website froze right as I was about to complete the payment.","Complaint","English"
"There's a security audit happening across all departments this week.","Work/Office","English"
